"title","body","rating","review_date","source","curated","reviewer_name","reviewer_email","product_id","product_handle","reply","reply_date","picture_urls","ip_address","location","metaobject_handle"
"Pros and Cons","Really wanted to like this product, finding that tough to do.
Pros: no scent at all. Dries quick, matte finish. Super hold. Washes out easy.
Con: its so (at least my can) ""rubbery"". It's not at all like a cream where you can scoop a finger full. I need to really press my finger in against surface tension, and it's really cohehesive, so it doesn't stick to my finger, mostly wants to stick to itself and stay in the tin. I have to kinda pinch out a small ""piece"" of it and then start working it in my hands. At that point, the smooth chunks need a fair amount of direct friction to go liquid. If I don't do that there's clumps in my hair.
I like MOST everything about the product, but again at least my tin is such a struggle to get into a usable liquid state, most days I just use my old hair gel.","3","2022-10-08 00:00:00 UTC","direct","ok","QASE","support+anonymous@judge.me","1467734556745","challenger-clean-hair-pomade-1-5oz","","","","","","review-bac1baab-e088-4bb0-9de9-005bc72a6f22"
"Spendy but so luxurious","I've tried and liked the conditioner before, and decided to add the shampoo into the mix. It's more than my normal drug store products, and so, so worth it.

The shampoo cleanses without stripping natural oils - after trying many, many different types this is one of the only ones that leaves hair feeling clean, fresh, soft, and well... like hair should feel. While I feared the tea tree would be too strong, it's present but not overpowering.

Often peppermint in conditioners can be too minty, too strong, and leave too much of a tingly sensation behind.

In this blend it helps open sinuses while being uses, as well as the aforementioned tingle. However, it lasts only a slight amount of time after it's rinsed out, so it's pleasant rather than obnoxious.

The conditioner is thick and rich, suitable for detangling my longish hair as well as helping smooth it. The scent is an unexpectedly lovely blend of vanilla and peppermint.","5","2023-03-30 00:00:00 UTC","direct","ok","Goth Gone Grey VINE VOICE","support+anonymous@judge.me","178796265493","combo-pack-shampoo-and-conditioner","","","","","","review-6ba50ccd-d7fe-4edf-85df-c5147424e257"
"Truly Worth Using","I am updating this review after switching to another product for a year or so and coming back.

I stopped using this shampoo and conditioner for a while because I had always used 2-in-1 products before and got drawn back to the convenience. Honestly, I’ve used poor quality hair care products for so much of my life that I barely noticed when my hair got dull, frizzy and breakage-prone again. I did, however, notice when I found myself needing to cut off several inches of damaged hair for the second time in six months.

My hair looked markedly better after a single washing, and after a month it is shiny, healthy-looking and has distinct waves and curls rather than frizz. I can’t believe I quit using it in the first place, and I am amazed at the difference a high-quality shampoo and conditioner can make. My hair smells exactly like thin mint girl scout cookies, which my wife absolutely loves and comments on every time she smells my hair.

Original review below.

This shampoo and conditioner is fantastic- leaves my hair very clean, thick and soft. The shampoo has a nice tingle and both have a cooling effect, which is particularly great in the summer. I love the mint smell, too.

I was hesitant about the price, and in fact each time I re-up I hesitate again, but I can get easily six months out of a set even with hair that goes past my shoulders. A little bit goes a very long way, and I very rarely need to do a ‘rinse and repeat’ with the shampoo as it gets my hair clean enough for a full lather the first round.

Also- the longer I have used these products the healthier my hair and scalp feel. I used to get itchy and flaky in the winter but haven’t seen flakes in a very long time. Great products!","5","2019-12-08 00:00:00 UTC","direct","ok","Harold and Maude","support+anonymous@judge.me","178796265493","combo-pack-shampoo-and-conditioner","","","","","","review-2ea75c2f-7bee-4762-b9f2-6ab617b50a8a"
"The only shampoo and conditioner that doesn’t give me dandruff!!! A+++++","Best I’ve ever used, thank you!","5","2021-09-05 00:00:00 UTC","direct","ok","Josh","support+anonymous@judge.me","178796265493","combo-pack-shampoo-and-conditioner","","","","","","review-0e1857fe-2de3-4507-ae03-842c0bfe73c1"
"Cleans and conditions my hair making it soft and full","I have fine, thin hair and it has been difficult to find a product that will make my hair look fuller and feel nice and soft. I live in an area where the air is dry most of the year which drys out my hair making it feel rough. This product has solved those issue better than anything I have tried before. The Tee Tree is supposed to work well with my type of hair and it does this very well.","5","2022-03-04 00:00:00 UTC","direct","ok","Marc McRobert","support+anonymous@judge.me","178796265493","combo-pack-shampoo-and-conditioner","","","","","","review-1e910db8-1403-437f-9a18-9de54381df17"
"Is this real life?","I try my best to always find the pros and cons to every product, but this product makes that tricky. Where has this product been all my life? I love the shampoo and conditioner so so much. I love minty eucalyptus scent and therefore am biased. I love the tingling feeling peppermint leaves behind and felt this sensation for easily a half hour to hour after each use. So if you aren't a fan of either, this may not be for you. But for me, this is perfect and I hope this product never changes!

You don't need much to get the job done. I have thick curly hair and only need a quarter sized amount to wash my hair. Some products you need giant globs, not this. The result is smooth and shiny hair. My hair feels healthy and light versus dry and heavy. This is big for me, having thick heavy hair in general. My curls retain their bounce. My ends and scalp feel great unlike the wirey feeling other shampoos cause; which I blame for dryness causing the wirey split ends.

This product is wonderful and I recommend everyone to try it at least once. I don't think you'll be disappointed. Perhaps you'll have a situation where you talk about how amazing it is that you annoy your significant other about it. I know I do. I love it that much!

Ps. He will get over it ;3","5","2019-05-11 00:00:00 UTC","direct","ok","Kelcie","support+anonymous@judge.me","178796265493","combo-pack-shampoo-and-conditioner","","","","","","review-8539addc-e697-40cb-bd3f-b6b789be9329"
"Quality Products","I enjoy these products. This is the second time I bought from the company. The bottle are made nice and the soap is made with good ingredients.","5","2021-03-04 00:00:00 UTC","direct","ok","Daniel Segura","support+anonymous@judge.me","178796265493","combo-pack-shampoo-and-conditioner","","","","","","review-b3ea9cb8-ba61-4a27-9cce-59e75cffc5bc"
"Well worth the money!","Definitely will be buying again.","5","2021-06-18 00:00:00 UTC","direct","ok","Jim","support+anonymous@judge.me","178796265493","combo-pack-shampoo-and-conditioner","","","","","","review-c945ca0d-46b2-42f7-839a-9dc05a912630"
"A cut above","The shampoo/conditioner/body wash combo is the best value. All have a great scent and a clean finish","5","2021-01-31 00:00:00 UTC","direct","ok","Toni Bloss","support+anonymous@judge.me","178796265493","combo-pack-shampoo-and-conditioner","","","","","","review-0685a5ea-1f14-4c03-b55c-adb8f838eca9"
"Great treat during the pandemic.","I bought this at the beginning of the pandemic as a treat while we sheltered in place. I work in travel so it wasn’t long before I was out of work, but this was a great treat for those early days. With several opportunities coming up, decided to treat myself again. Great product - right level of tea tree oil.","5","2021-02-06 00:00:00 UTC","direct","ok","Derek Janu-Chossek","support+anonymous@judge.me","178796265493","combo-pack-shampoo-and-conditioner","","","","","","review-3266b8e7-9a89-4917-b4e5-d1c1a6bb5288"
"Love my hair","Great product","5","2021-02-08 00:00:00 UTC","direct","ok","Paulette Cristales Carrillo","support+anonymous@judge.me","178796265493","combo-pack-shampoo-and-conditioner","","","","","","review-23e3406d-c899-4dee-8cd6-ada770bef160"
"It is definitely worth the price","I love the smells of the tea tree shampoo.
Ohh and the consistency of the conditioner,
And the texture of the body wash has its own unique texture that I have never had before, and overall there products are Worth their Price.","5","2021-01-19 00:00:00 UTC","direct","ok","Caleb","support+anonymous@judge.me","178796265493","combo-pack-shampoo-and-conditioner","","","","","","review-945b2631-3c92-469c-b802-23e92be61563"
"Excellent","I got the Shampoo/Conditioner two-pack, and I'm loving it! First impressions - surprisingly nice packaging, made unboxing feel like an event. Also, the instructions literally made me laugh out loud. Not the point of hair products, but an added bonus. Now for the important part: smells AMAZING, feels incredible, and I love how my hair feels afterwards. Definitely digging this brand.","5","2020-12-30 00:00:00 UTC","direct","ok","Steven","support+anonymous@judge.me","178796265493","combo-pack-shampoo-and-conditioner","","","","","","review-005804ea-ab63-4e2f-879d-cfd051fff65c"
"Great pair, but not for everyday use","I have always had issues with dandruff and this shampoo and conditioner was amazing for my scalp.... For about a week. Afterwards, my scalp got extremely dry and flaky again causing me to resort back to Head and Shoulders. I only recently learned that tea tree oil is not meant for everyday use. Only once or twice a week! If you take that into account, this stuff smells amazing.","4","2021-07-07 00:00:00 UTC","direct","ok","Matthew Vanlandingham","support+anonymous@judge.me","178796265493","combo-pack-shampoo-and-conditioner","","","","","","review-71000484-c31d-4186-9b35-9cfdaa0fbbed"
"Just what I was looking for!","Love that it’s non-comedogenic and unscented!","5","2021-06-28 00:00:00 UTC","direct","ok","Steve Blanchard","support+anonymous@judge.me","1467734556745","challenger-clean-hair-pomade-1-5oz","","","","","","review-3a1d470d-79dc-4348-bc5a-f29fc5ba6d98"
"Awesome","I love this product. I’ve tried other shampoo and conditioner, but this one! I will never go bk to another product again.","5","2021-04-19 00:00:00 UTC","direct","ok","Adrain Fierros","support+anonymous@judge.me","178796265493","combo-pack-shampoo-and-conditioner","","","","","","review-2a16d1b7-53a7-4750-8ed3-2a5d4bd256ac"
"Nope","Scent is too strong. Doesn’t keep my hair as clean (I only shampoo every other day) conditioner doesn’t hydrate my hair as well. Going back to Hudson and Mane.","3","2020-05-07 00:00:00 UTC","direct","ok","Kenny O'Brien","support+anonymous@judge.me","178796265493","combo-pack-shampoo-and-conditioner","","","","","","review-329df966-1e91-4d8a-aa56-f12ae2b83cf9"
"mells great but...","It smells amazing but i am yet to use it but i noticed that the conditioner bottle isn’t nearly as full as the shampoo. little disappointed","4","2021-02-26 00:00:00 UTC","direct","ok","karen...","support+anonymous@judge.me","178796265493","combo-pack-shampoo-and-conditioner","","","","","","review-be9f7bb9-a314-4932-a67c-aa5c3c4c14c7"
"Really have enjoyed these products","I've been really pleased with my purchase. The scents are nice, the shampoo lathers up really well and I enjoy the light tingle it gives my scalp. Body wash has a nice scent. Conditioner is rich and feels and smells great! I'm pretty sure you have a loyal customer in me.","5","2020-05-27 00:00:00 UTC","direct","ok","Mike Jensen","support+anonymous@judge.me","2019640705097","tea-tree-shampoo-awesome-conditioner-fresh-body-wash-trio","","","","","","review-936121f0-eb27-4326-b87a-c1dd73ed2a5d"
"Disappointed","Only recieved the conditioner! No shampoo!","1","2020-10-20 00:00:00 UTC","direct","ok","Beth","support+anonymous@judge.me","178796265493","combo-pack-shampoo-and-conditioner","","","","","","review-0e87014c-0384-4ca2-89d7-931d4afa6f12"
"It was okay.","It was okay.","3","2019-11-13 00:00:00 UTC","direct","ok","John W.","support+anonymous@judge.me","178796265493","combo-pack-shampoo-and-conditioner","","","","","","review-78583a30-fe47-4625-8da5-72335901558a"
"It is definitely worth the price","I love the smells of the tea tree shampoo.
Ohh and the consistency of the conditioner,
And the texture of the body wash has its own unique texture that I have never had before, and overall there products are Worth their Price.","5","2021-01-19 00:00:00 UTC","direct","ok","Caleb","support+anonymous@judge.me","2019640705097","tea-tree-shampoo-awesome-conditioner-fresh-body-wash-trio","","","","","","review-e82509c5-d83d-4e5c-a0af-76e190c16908"
"Awesome","Rich scent and excellent sheerness one of the best shampoo I have ever use and can’t stop using must buy","5","2021-01-21 00:00:00 UTC","direct","ok","J.","support+anonymous@judge.me","178796265493","combo-pack-shampoo-and-conditioner","","","","","","review-75e792b4-4387-4cdb-91bd-365bbb071cc2"
"Great treat during the pandemic.","I bought this at the beginning of the pandemic as a treat while we sheltered in place. I work in travel so it wasn’t long before I was out of work, but this was a great treat for those early days. With several opportunities coming up, decided to treat myself again. Great product - right level of tea tree oil.","5","2021-02-06 00:00:00 UTC","direct","ok","Derek Janu-Chossek","support+anonymous@judge.me","2019640705097","tea-tree-shampoo-awesome-conditioner-fresh-body-wash-trio","","","","","","review-79411ac1-5f4a-4b33-97bb-dae7f431d360"
"Quality Products","The best product that I have ever had. I was using another product, dove to be honest but challenger is the best, organic and family Company. 😊 my hair and skin feel so much better.","5","2021-06-03 00:00:00 UTC","direct","ok","Edwin A.","support+anonymous@judge.me","178796265493","combo-pack-shampoo-and-conditioner","","","","","","review-94961837-4b0b-44b9-b251-32ec7cd5b2be"
"Really quality product","First off the smell is strong initially but it dies down pretty quick once you're out of the shower, it's something akin to a Andes mint. That being said I really appreciate the fact that it smells like something that's really identifiable in the real world as opposed so made up unidentifiable nonsense.

As far as the effectiveness of the product I gave it a week after using HIMs shampoo and the difference is quite noticeable. My hair is definitely softer and cleaner feeling than with other products I've used.

As far as the people saying it makes their scalp burn, it's got a little bit of peppermint and menthol in it, and if that's enough to hurt you, you're either having an allergic reaction or you never go outside. It's refreshing but in no way does it cause any kind of discomfort, that's just wild.

They've found a customer with me, I see myself using this s long as I've still got hair.","5","2021-12-21 00:00:00 UTC","direct","ok","Logan Abernathy","support+anonymous@judge.me","178796265493","combo-pack-shampoo-and-conditioner","","","","","","review-fcbb2c7b-0816-46df-bfae-a2447d15d104"
"Very Solid Tea Tree Shampoo/Conditioner","After a few days of using all three products, I think I may have found my favorite Shampoo and Conditioner... I can confirm that the Shampoo does tingle pretty strongly, and does have a super-strong mint scent (that remains even after rinsing thoroughly). The Conditioner does seem to have a little bit of a ""cooling"" sensation when used after the shampoo. I can see how some might find the effect and scent overpowering, but I liked it. It also seems to be doing a better job controlling dandruff than my so-called ""Dandruff Shampoo"" did.

All three products are a noticeably thick consistency, which definitely makes you feel like you got your money's worth.

I was a little less impressed by the Body Wash... the ""exfoliating beads"" felt more like gravel to me, instead of soap. It also didn't lather as much as I would have expected from a body wash. This is more of a personal preference, so this won't effect my rating. I ordered the bundle mostly for the Shampoo and Conditioner, which both seem top-notch, so I will probably just skip the Body Wash on my next order.

I have to say, the Shampoo and Conditioner both are as good (if not better) than some of the ""salon"" brands I've tried in the past that cost even more. Solid product.","5","2019-09-01 00:00:00 UTC","direct","ok","Steve S.","support+anonymous@judge.me","2019640705097","tea-tree-shampoo-awesome-conditioner-fresh-body-wash-trio","","","","","","review-c0d9a3df-7593-420f-99ab-aa7378a13cad"
"Challenger Men’s Products are awesome.","Challenger Men’s Tea Tree Shampoo, Conditioner and liquid soap are great product, nice smelling and rinse very good. It’s my only go to brand.","5","2022-03-05 00:00:00 UTC","direct","ok","Steven","support+anonymous@judge.me","2019640705097","tea-tree-shampoo-awesome-conditioner-fresh-body-wash-trio","","","","","","review-d877a759-1949-4ba8-b82e-d39559323c69"
"Great Trio","The Tea Tree Shampoo, Awesome Conditioner, and Fresh Body Wash Trio is great. It smells pleasantly and leaves the hair fresh & clean. Also, the beads in the body wash are a nice addition and give it the gentle peeling experience. Overall, I would recommend it as it is really nice. Everyone loves it :)","5","2019-10-22 00:00:00 UTC","direct","ok","Cassie","support+anonymous@judge.me","2019640705097","tea-tree-shampoo-awesome-conditioner-fresh-body-wash-trio","","","","","","review-8e8ebd8a-9cb8-4312-8183-edcd811c3fe4"
"Great product!","Love the shampoo and conditioner. My hair always feels fresh, light and clean. The scent is also a 10/10! You will not be disappointed with this product (:","5","2021-09-20 00:00:00 UTC","direct","ok","Kendall Halberg","support+anonymous@judge.me","178796265493","combo-pack-shampoo-and-conditioner","","","","","","review-43ad3c67-5a1e-4d4a-bb5e-8be3cbccb9ad"
"Awesome!","This shampoo and conditioner are amazing! Yes the shampoo is strong but not overbearing and the conditioner is a real treat! I love the conditioner, I can comb through my hair no problem and it leaves a nice tingly sensation. Body wash smells great too! I would purchase again ❤️","5","2020-03-27 00:00:00 UTC","direct","ok","Amazon Customer","support+anonymous@judge.me","2019640705097","tea-tree-shampoo-awesome-conditioner-fresh-body-wash-trio","","","","","","review-04be73c3-a0c0-4392-90ae-a88a726f0e4d"
"Too expensive.","Works ok. Too expensive. Way too expensive","3","2019-12-16 00:00:00 UTC","direct","ok","Russell Carnahan","support+anonymous@judge.me","2019640705097","tea-tree-shampoo-awesome-conditioner-fresh-body-wash-trio","","","","","","review-0ad82c9c-2de0-456f-af57-c704c45de552"
"The perfect package!","I was extremely impressed with the quality of the product. The aroma and texture of the shampoo/body wash was great. The conditioner was an added bonus!

I will definitely be ditching my normal shower products for Challenger Care moving forward.","5","2019-07-30 00:00:00 UTC","direct","ok","Amazonian","support+anonymous@judge.me","2019640705097","tea-tree-shampoo-awesome-conditioner-fresh-body-wash-trio","","","","","","review-06ee4cb9-dd83-42ed-a676-2527551f76d0"
"We see no difference","My husband just turned 40 and I try to get him to use better skincare products. He has been using this for 2 months and we see nothing. He has fine lines on his eyes. He also says that this is not better than what I get him. We buy a local company product but I think the products can be a little harsh on his skin but it works better.","3","2021-06-05 00:00:00 UTC","direct","ok","KO","support+anonymous@judge.me","4399657287753","primo-anti-aging-skin-care-trio-serum-moisturizer-eye-cream","","","","","","review-138ad059-9d72-4528-9252-e27c4af3bfb3"
"Busting with goodness!","Great ingredients, great mild fresh not perfumy scent, nice size, fair priced excellent performing body wash!","5","2020-09-03 00:00:00 UTC","direct","ok","Lorena Silcox","support+anonymous@judge.me","1461162278985","challenger-fresh-body-wash-16oz-exfoliating-cleanser-w-aloe-vitamin-e-tea-tree-jojoba-oils-for-men-women-moisturizing-and-de-odorizing-lather-for-smooth-strong-skin-2-month-supply","","","","","","review-e75ae367-a5ba-481d-b2d1-72a80fbde0e7"
"A cut above","The shampoo/conditioner/body wash combo is the best value. All have a great scent and a clean finish","5","2021-01-31 00:00:00 UTC","direct","ok","Toni Bloss","support+anonymous@judge.me","2019640705097","tea-tree-shampoo-awesome-conditioner-fresh-body-wash-trio","","","","","","review-4bd7c04a-8470-4e23-8041-8ecfea2a4167"
"Really nice quality set for the man in your life!","I have to disclose that my husband is truly far from a metro-sexual male. He tries hard to avoid any feminine products. When I first saw this set I was a little nervous that he wouldn't be interested. However, suprisingly now that he is in his 60's he finally realizes how necessary it will be for him to take care of his skin as he ages. He really liked this set and actually has been spending a few extra minutes in the morning and evening developing a regimen. He told me he really likes the moisturizing cream and eye cream the best. I can definitely see an improvement in the dark circles and bags under his eyes. Highly recommend for the man in your life!","5","2021-05-24 00:00:00 UTC","direct","ok","M. Kelly","support+anonymous@judge.me","4399657287753","primo-anti-aging-skin-care-trio-serum-moisturizer-eye-cream","","","","","","review-41d1e2bd-ce63-4f17-95f7-2b3cd3433f78"
"Anti-aging skin care for men","This skin care set includes serum, eye cream and moisturizer for men Rich in copper peptide this skin care is good for all skin types. You will still need to have a cleanser and toner to add to this skin care regiment if you want to take care of your skin properly.","5","2023-02-28 00:00:00 UTC","direct","ok","Eugenia VINE VOICE","support+anonymous@judge.me","4399657287753","primo-anti-aging-skin-care-trio-serum-moisturizer-eye-cream","","","","","","review-3b89b375-0f0e-4484-9ee8-0ffaeb269a7c"
"LOOOOOOVE these! Great products!","I had gotten the Challenger Eye Cream and absolutely LOVE it! Then, I saw the face moisturizer, so I had to try it, and I LOVED it! So, when I saw this set that had both of those AND a serum I hadn’t tried yet, I couldn’t wait to get it!

These come in nice bottles. They feel nice and look nice. Each one has a nice pump that gives you just the right amount of product. The pump works nicely every time.

The serum feels really nice. It glides onto the skin. Absorbs quickly. It doesn’t leave any tacky feeling. My skin feels smooth and hydrated.

The cream is in the thicker side, but not so thick where it feels heavy or takes a long time to rub in. It glides onto the skin very easily. It absorbs quickly leaving behind a very soft, moisturized feel to the skin. This works well under my makeup too. I have normal to dry skin, with some extremely dry areas, and this works well for me. If you have skin that’s more oily, it might feel like too much for you. But, if you have dry skin, I think you’d really like this!

The eye cream is probably my favorite, but it’s hard to choose! My eyes are pretty dry. My eyelids get dry and my under eyes get really dry. Whenever I apply concealer, it will always look horrible unless I make sure my under eyes are moisturized well enough. I’ve been using Glossier Priming Moisturizer Rich cream, but it’s $32 for a jar. A little of it goes a long way so it lasts me a while, but I still wanted to find a cheaper alternative. I found this, it isn’t a ton cheaper, but it’s still cheaper. Plus, I think I might like this even more than the glossier! This is a cream, but it isn’t really thick or thin. It kind of reminds me of a gel type cream consistency, but thicker than a gel. I’d say it has a medium consistency. It glides onto the skin so easily. My under eyes look SOOOOO hydrated after using it! It leaves a dewy, moisturized look to the eyes. They feel soft and smooth. My concealer goes over it so well and looks great!

This set is $49 (at the time of writing this review), which definitely seems pricey to me. But, when I consider I was paying $32 for a jar of the Glossier Priming Moisturizer Rich for under my eyes, I see it as getting 2 additional products I love for $17 more! To me, that’s a great deal! Plus, I LOVE the ingredients in each of these products! I love they are fragrance free, the way they feel on my skin, and the way they look on the skin! In addition to all that, I LOVE that these are made in the US. I don’t need to worry about if something is translated correctly or if info is going to be in English. So, I’m very happy overall!

If you’re looking for a good skin care regimen, I definitely recommend this set!","5","2021-06-12 00:00:00 UTC","direct","ok","Lover of All Things Beauty VINE VOICE","support+anonymous@judge.me","4399657287753","primo-anti-aging-skin-care-trio-serum-moisturizer-eye-cream","","","","","","review-efcf5d60-6749-4a48-9afb-7d6cc0880531"
"It do good","Smells good, feels good, nuff said","5","2020-09-15 00:00:00 UTC","direct","ok","Matt Schewe","support+anonymous@judge.me","2019640705097","tea-tree-shampoo-awesome-conditioner-fresh-body-wash-trio","","","","","","review-47dab5eb-6712-4ddd-b655-d6e6ace0fbc7"
"One of the best body washes I used","Used Challenger Shampoo and conditioner for a while and loved them so I decided to try the body wash. Did not disappoint! Same quality and care as the shampoo and conditioner. Will be buying again!","5","2020-07-22 00:00:00 UTC","direct","ok","Massimo","support+anonymous@judge.me","1461162278985","challenger-fresh-body-wash-16oz-exfoliating-cleanser-w-aloe-vitamin-e-tea-tree-jojoba-oils-for-men-women-moisturizing-and-de-odorizing-lather-for-smooth-strong-skin-2-month-supply","","","","","","review-4b6682ba-9173-4630-b41c-77201ea88f56"
"Super fresh. Really like it","This fresh body wash is legit. Most body washes are super watered down and this one isn’t. The exfoliant in this one is great and gets me super clean.","5","2022-05-29 00:00:00 UTC","direct","ok","Katie Sammons","support+anonymous@judge.me","1461162278985","challenger-fresh-body-wash-16oz-exfoliating-cleanser-w-aloe-vitamin-e-tea-tree-jojoba-oils-for-men-women-moisturizing-and-de-odorizing-lather-for-smooth-strong-skin-2-month-supply","","","","","","review-7352614c-fe89-4cb7-97f0-96e4b969ea17"
"Great product","Smells so good. Loved this.","5","2020-04-15 00:00:00 UTC","direct","ok","rankenkal","support+anonymous@judge.me","1461162278985","challenger-fresh-body-wash-16oz-exfoliating-cleanser-w-aloe-vitamin-e-tea-tree-jojoba-oils-for-men-women-moisturizing-and-de-odorizing-lather-for-smooth-strong-skin-2-month-supply","","","","","","review-ecc774d5-ae93-4c15-ab97-8e86e2071ea6"
"Great for dry skin","The combination of these products really gives my rough skin life. I have extremely dry skin and the serum has helped be stay moisturized longer. It’s lightweight but it absorbs nicely into the skin. The moisturizer is pretty thick so it keeps me hydrated all day. It is a bit greasy but for my skin type it’s perfect. The eye cream has helped with my under eye. I always a have puffy eyes in the mornings and these really helps with that. It is pretty hydrating too. This combo really focuses on hydrating. My skin feels rough after shaving and these products have helped with the texture and dryness on my skin.","5","2021-08-16 00:00:00 UTC","direct","ok","Wolo P. VINE VOICE","support+anonymous@judge.me","4399657287753","primo-anti-aging-skin-care-trio-serum-moisturizer-eye-cream","","","","","","review-5b1cdb03-798f-42cf-86a6-2c41e093941a"
"Challenger Men’s Body Wash Phenomenal !","It’s to my go to brand Challenger Men’s Body wash, does and great job and a soft clean smell. My skin is very sensitive and this works phenomenal. Pricing could be better though but you get what you pay for.","5","2021-05-18 00:00:00 UTC","direct","ok","Steven","support+anonymous@judge.me","1461162278985","challenger-fresh-body-wash-16oz-exfoliating-cleanser-w-aloe-vitamin-e-tea-tree-jojoba-oils-for-men-women-moisturizing-and-de-odorizing-lather-for-smooth-strong-skin-2-month-supply","","","","","","review-246df291-dc10-4fc9-add8-4ee90ea7506c"
"Amazing","Smells great","5","2020-01-17 00:00:00 UTC","direct","ok","Xyz","support+anonymous@judge.me","1461162278985","challenger-fresh-body-wash-16oz-exfoliating-cleanser-w-aloe-vitamin-e-tea-tree-jojoba-oils-for-men-women-moisturizing-and-de-odorizing-lather-for-smooth-strong-skin-2-month-supply","","","","","","review-50693675-e9a2-417c-8e7d-04b100140332"
"Nice set of products","Challenger Men's Primo - Men's Anti Aging Trio - Face Serum, Face Moisturizer, & Eye Cream - Formulas incl. Copper Tri-Peptide, 4D Hyaluronic Acid, Aloe, Vitamin C & More - Firm Skin & Reduce Wrinkles

These three products work well together. My favorite is the Anti-Aging Eye Cream. The years have added bags under my eyes and they make me look tired all of the time. While it is not a miracle worker, I can see a reduction in the size of the bags and, especially, the darkness. Sometimes they looked almost bruised but not as much anymore. This is something that I've noticed over time. Don't expect it to work overnight. I did and I almost gave up on it. I'm glad that I stuck it out.

I don't have much of an issue with wrinkles so far, and I am hoping that the other two parts of this set keep it that way. The best thing about the face serum and moisturizer is that they are absorbed quickly and don't leave behind any oily residue. My skin is prone to breakouts and I have seen my share of them from other products I've tried over the last year. I have had no problems with breakouts using these products.

The bottles are well packaged in nice boxes with lots of information on them. They're made in the USA and that means that the literature included on the boxes is in legible English that we all can read. The bottles themselves are solid and use a pump system that doesn't include a plastic tube stuck down to the bottom of the bottle. I'm hoping that this means less waste.

As for cost - yes, these products are relatively expensive when compared to other products like them. For my purposes, they are worth it. You are getting what you pay for. And getting them in a set is less expensive that purchasing them separately. I'm impressed with this US based company and their products. I'd prefer to support US companies that make quality products with information that is written in plain English. I will be purchasing more of this product once I am done with what I have.","5","2021-05-11 00:00:00 UTC","direct","ok","Scott K VINE VOICE","support+anonymous@judge.me","4399657287753","primo-anti-aging-skin-care-trio-serum-moisturizer-eye-cream","","","","","","review-396174bf-00e2-48a0-abc9-6430f49989cd"
"Smells great","This smells great. Kind of super clean with a hint of orange & mint.
It’s not drying and I like the texture, exfoliating without being super gritty. My husband likes it too. It foams also, which means I don’t need to use too much at a time.","5","2019-12-27 00:00:00 UTC","direct","ok","mac girl* VINE VOICE","support+anonymous@judge.me","1461162278985","challenger-fresh-body-wash-16oz-exfoliating-cleanser-w-aloe-vitamin-e-tea-tree-jojoba-oils-for-men-women-moisturizing-and-de-odorizing-lather-for-smooth-strong-skin-2-month-supply","","","","","","review-213d8088-8705-4d49-a12b-c01069667c08"
"Great product","Very nice product. I enjoy the benefits it has on my sensitive skin. Leaves me feeling renewed.","5","2020-04-14 00:00:00 UTC","direct","ok","CKK","support+anonymous@judge.me","1461162278985","challenger-fresh-body-wash-16oz-exfoliating-cleanser-w-aloe-vitamin-e-tea-tree-jojoba-oils-for-men-women-moisturizing-and-de-odorizing-lather-for-smooth-strong-skin-2-month-supply","","","","","","review-fbc4a10b-7e16-40c4-ac4d-803e3c5071ef"
"Awesome","Rich scent and excellent sheerness one of the best shampoo I have ever use and can’t stop using must buy","5","2021-01-21 00:00:00 UTC","direct","ok","J.","support+anonymous@judge.me","2019640705097","tea-tree-shampoo-awesome-conditioner-fresh-body-wash-trio","","","","","","review-12c92c49-e3ed-4f1b-903f-8db8eb791524"
"Gentle, Moisturizing, Nice Packaging","This Challenger Men's Primo - Men's Anti Aging Trio is seems pretty good. It comes with the face serum (50ml), face moisturizer (50ml), and eye cream (30ml).

Overall, my boyfriend says he likes these. He says they are gentle on his sensitive skin and moisturizing. It seems like there are some good ingredients in the products as well. We can’t really speak for results when it comes to firming the skin and reducing wrinkles (those aren't huge issues at this point anyway). Results like that probably take a good bit of time as well. We do like the packaging and the fact that the products are fragrance free, not tested on animals, and made in the USA. If you are okay with the price of $49 then these may be worth a try for you.","4","2021-11-20 00:00:00 UTC","direct","ok","M4RJ0R!3 VINE VOICE","support+anonymous@judge.me","4399657287753","primo-anti-aging-skin-care-trio-serum-moisturizer-eye-cream","","","","","","review-ef29cff8-3c99-402f-aea1-11a612266091"
"Highly Recommend","The exfoliating is great with the Fresh. Scent is good and my skin is definitely smoother after using it.","5","2020-09-01 00:00:00 UTC","direct","ok","Mark A Sopcik","support+anonymous@judge.me","1461162278985","challenger-fresh-body-wash-16oz-exfoliating-cleanser-w-aloe-vitamin-e-tea-tree-jojoba-oils-for-men-women-moisturizing-and-de-odorizing-lather-for-smooth-strong-skin-2-month-supply","","","","","","review-084f050e-8aa6-44c0-80d7-7c5da530e66a"
"bottle not full","I ordered the shampoo and conditioner along with the body wash, they all smell great but i noticed that the conditioner and body wash aren’t nearly ass full as the shampoo bottle :(","4","2021-02-26 00:00:00 UTC","direct","ok","Karen","support+anonymous@judge.me","1461162278985","challenger-fresh-body-wash-16oz-exfoliating-cleanser-w-aloe-vitamin-e-tea-tree-jojoba-oils-for-men-women-moisturizing-and-de-odorizing-lather-for-smooth-strong-skin-2-month-supply","","","","","","review-baceaadd-1817-4f94-923c-57bbf88eff9a"
